Word,Freq
الله,0.065409531
lah,0.007959624
الصحة,0.006955255
تبارك,0.006679054
الناس,0.006679054
خويا,0.006227088
يعطيك,0.00615176
allah,0.005724903
المغرب,0.00552403
السلام,0.004795862
ربي,0.004670316
saha,0.004117913
بالله,0.004042585
غادي,0.003490182
chokran,0.003465073
حاجة,0.003465073
شكرا,0.003264199
ana,0.003113544
الشعب,0.003088435
سكيزوفرين,0.002937779
تحياتي,0.002937779
لله,0.00291267
الحق,0.00291267
hh,0.002661578
khoya,0.002661578
بسطيلة,0.002611359
تحية,0.00258625
ناس,0.002536032
قوة,0.002485813
ديما,0.002485813
