Word,Freq
الله,0.049854573
سير,0.013961004
تفو,0.012646774
راجل,0.010061403
الناس,0.008402456
مالك,0.007174405
sir,0.007045136
lah,0.006075622
يعطيك,0.005580093
نصاب,0.005256921
الحق,0.004912205
tfo,0.004804481
زامل,0.004739847
المغرب,0.004222773
ربي,0.003964236
سعيد,0.003554885
الشعب,0.003490251
غادي,0.003490251
ناري,0.003339438
كريم,0.003210169
حاجة,0.003188624
شمكار,0.003145535
nta,0.003080901
بالله,0.003059356
النصاب,0.002822363
ترجل,0.002800819
مريض,0.002757729
مسكينة,0.002757729
allah,0.00267155
الزامل,0.00267155
